date,duree,certificats,titre,etudiant,description,lien
"June 22, 2021",Approximately 12 weeks to complete.,"[{'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}]","Full Stack Web Development with Angular
",Course Certificates,"Laby Damaro  Camara's account is verified. Coursera certifies their successful completion of The Hong Kong University of Science and Technology Full Stack Web Development with Angular
 Specialization.",https://www.coursera.org/specializations/full-stack-mobile-app-development
"May 9, 2021",Approximately 12 weeks to complete.,"[{'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}, {'nom': 'Server-side Development with NodeJS, Express and MongoDB', 'lien': 'https://www.coursera.org/account/accomplishments/certificate/YPQPEMN97ESV', 'universite': 'The Hong Kong University of Science and Technology', 'formateur': 'Jogesh K. Muppala', 'etudiant': 'Laby Damaro  Camara', 'date_obtention': ' April 24, 2019', 'duree': '4 weeks of study, 8-10 hours/week'}]",Full-Stack Web Development with React,Course Certificates,Laby Damaro  Camara's account is verified. Coursera certifies their successful completion of The Hong Kong University of Science and Technology Full-Stack Web Development with React Specialization.,https://www.coursera.org/specializations/full-stack-react
